Year,Annual_Total
2006,32840
2007,19272
2008,19276
2009,18727
2010,13550
2011,18114
2012,19039
2013,23250
2014,22347
2015,19345
2016,30788
2017,21186
2018,21752
2019,34170
2020,26419
2021,17971
2022,33762
2023,12515
2024,17838
2025,17816
2026,20863
2027,32069
2028,13588
2029,15537
2030,26588
2031,23156
2032,24821
2033,25237
2034,15752
2035,14557
2036,21259
2037,25033
2038,14801
2039,25310
2040,20064
2041,17901
2042,18513
2043,23273
2044,20619
2045,20152
2046,24195
2047,19457
2048,18930
2049,25801
2050,17332
2051,19887
2052,11336
2053,19770
2054,24340
2055,15477
2056,24731
2057,21685
2058,17319
2059,13328
2060,17268
2061,17059
2062,14244
2063,22214
2064,14864
2065,18857
2066,17313
2067,19577
2068,14859
2069,14011
2070,22028
2071,26684
2072,10846
2073,22177
2074,17490
2075,20311
2076,9106
2077,16804
2078,23679
2079,7940
2080,19356
2081,28422
2082,12626
2083,25150
2084,14974
2085,17052
2086,14050
2087,12153
2088,16185
2089,24672
2090,17403
2091,15286
2092,28081
2093,14472
2094,19089
2095,17726
2096,11546
2097,10143
2098,10489
2099,19551
2100,21917
